Yr,EC
1965,155.2172842
1966,163.511969
1967,169.655189
1968,179.9238379
1969,191.9754164
1970,204.1999613
1971,212.5371319
1972,223.9678661
1973,237.073665
1974,238.4026684
1975,239.5904231
1976,252.4508049
1977,261.6856698
1978,272.2075525
1979,281.6182131
1980,279.4019432
1981,278.15241
1982,276.5851531
1983,281.0039151
1984,294.3112641
1985,302.0245103
1986,308.8334757
1987,319.6133624
1988,331.7645617
1989,338.2064484
1990,342.1415181
1991,344.6107371
1992,346.9044391
1993,349.5085861
1994,354.0734781
1995,361.8870959
1996,372.2559633
1997,375.9564579
1998,378.1044622
1999,384.8405543
2000,394.4707981
2001,398.3432887
2002,407.1545892
2003,421.6406086
2004,442.3507732
2005,456.622713
2006,469.5753532
2007,484.2357088
2008,489.4527734
2009,481.9690319
2010,505.377108
2011,517.6429626
2012,524.6100412
2013,534.3179327
2014,539.5559837
2015,544.4144686
2016,551.7416658
2017,561.8246048
2018,576.1298636
2019,581.5107144
2020,556.6335496
